Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 2/13/2025; downloaded 3/24/2025.,,
Data was truncated to the first two columns for file size purposes.,,
It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations.,,
,,
CAS Reg No (or other ID),Substance,Used for (Technical Effect)
 925-78-0, 3-NONANONE, FLAVORING AGENT OR ADJUVANT
 165191-91-3, 2-NONANONE PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 67801-46-1, 3-NONANON-1-OL, FLAVORING AGENT OR ADJUVANT
 7779-54-6, 3-NONANON-1-YL ACETATE, FLAVORING AGENT OR ADJUVANT
 2444-46-4, NONANOYL 4-HYDROXY-3-METHOXYBENZYLAMIDE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 56269-22-8," NONA-2,4,6-TRIENAL", FLAVORING AGENT OR ADJUVANT
 2463-53-8, 2-NONENAL, FLAVORING AGENT OR ADJUVANT
 2277-19-2, CIS-6-NONENAL, FLAVORING AGENT OR ADJUVANT
 124-11-8, 1-NONENE, FLAVORING AGENT OR ADJUVANT
 14812-03-4, (E)-2-NONENOIC ACID, FLAVORING AGENT OR ADJUVANT
 21963-26-8, 2-NONENOIC ACID GAMMA-LACTONE, FLAVORING AGENT OR ADJUVANT
 41453-56-9, CIS-2-NONEN-1-OL, FLAVORING AGENT OR ADJUVANT
 31502-14-4, TRANS-2-NONEN-1-OL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 35854-86-5, CIS-6-NONEN-1-OL, FLAVORING AGENT OR ADJUVANT
 14309-57-0, 3-NONEN-2-ONE, FLAVORING AGENT OR ADJUVANT
 5009-32-5, 8-NONEN-2-ONE, FLAVORING AGENT OR ADJUVANT
 27039-84-5, 5-NONEN-TRANS-2-ONE, FLAVORING AGENT OR ADJUVANT
 13049-88-2, CIS-3-NONENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 76238-22-7, CIS-6-NONENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 143-13-5, NONYL ACETATE, FLAVORING AGENT OR ADJUVANT
 60826-15-5, 3-NONYL ACETATE, FLAVORING AGENT OR ADJUVANT
 143-08-8, NONYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 7786-47-2, NONYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 7786-48-3, NONYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 4674-50-4, NOOTKATONE, FLAVORING AGENT OR ADJUVANT
 500-38-9, NORDIHYDROGUAIARETIC ACID--PROHIBITED WITH EXCEPTIONS, ANTIOXIDANT
 852379-28-3, N-P-BENZENEACETONITRILEMENTHANECARBOXAMIDE, FLAVORING AGENT OR ADJUVANT
 862731-61-1, N-(2-(PYRIDIN-2-YL)ETHYL)-3-P-MENTHANECARBOXAMIDE, FLAVORING AGENT OR ADJUVANT
 977051-44-7, NUTMEG (MYRISTICA FRAGRANS HOUTT.)," FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID"
 8007-12-3, NUTMEG OLEORESIN, FLAVORING AGENT OR ADJUVANT
 977083-13-8," OAK CHIPS, WHITE, EXTRACT (QUERCUS ALBA L.)", FLAVORING AGENT OR ADJUVANT
 977059-15-6," OAK MOSS, ABSOLUTE (EVERNIA SPP.)", FLAVORING AGENT OR ADJUVANT
 977183-63-3," OAK MOSS, CONCRETE (EVERNIA PRUNASTI SPP.)", FLAVORING AGENT OR ADJUVANT
 977089-90-9," OAK WOOD, ENGLISH (QUERCUS ROBUR L.)", FLAVORING AGENT OR ADJUVANT
 73020-09-4, OAT GUM, EMULSIFIER OR EMULSIFIER SALT
 13877-91-3, OCIMENE, FLAVORING AGENT OR ADJUVANT
 977043-76-7," 9,12-OCTADECADIENOIC ACID (48%) AND 9,12,15-OCTADECATRIENOIC ACID (52%)"," FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT,<br /> SOLVENT OR VEHICLE"
 1227-51-6, DELTA-OCTADECALACTONE, FLAVORING AGENT OR ADJUVANT
 502-26-1, GAMMA-OCTADECALACTONE, FLAVORING AGENT OR ADJUVANT
 5090-41-5, 9-OCTADECENAL, FLAVORING AGENT OR ADJUVANT
 124-30-1, OCTADECYLAMINE, BOILER WATER ADDITIVE
 30361-28-5," TRANS,TRANS-2,4-OCTADIENAL"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 56767-18-1, 2-TRANS-6-TRANS-OCTADIENAL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 18409-20-6," (E,E)-2,4-OCTADIEN-1-OL", FLAVORING AGENT OR ADJUVANT
 65213-86-7," 1,5-OCTADIEN-3-ONE", FLAVORING AGENT OR ADJUVANT
 30086-02-3," 3,5-OCTADIEN-2-ONE, TRANS, TRANS-", FLAVORING AGENT OR ADJUVANT
 115-25-3, OCTAFLUOROCYCLOBUTANE, PROPELLANT
 23333-91-7," OCTAHYDRO-4,8A-DIMETHYL-4A(2H)-NAPHTHOL", FLAVORING AGENT OR ADJUVANT
 4430-31-3, OCTAHYDROCOUMARIN, FLAVORING AGENT OR ADJUVANT
 698-76-0, DELTA-OCTALACTONE, FLAVORING AGENT OR ADJUVANT
 104-50-7, GAMMA-OCTALACTONE, FLAVORING AGENT OR ADJUVANT
 124-13-0, OCTANAL, FLAVORING AGENT OR ADJUVANT
 10022-28-3, OCTANAL DIMETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 74094-61-4, OCTANAL PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 585-25-1," 2,3-OCTANEDIONE", FLAVORING AGENT OR ADJUVANT
 5455-24-3," 4,5-OCTANEDIONE", FLAVORING AGENT OR ADJUVANT
 1191-62-4," 1,8-OCTANEDITHIOL", FLAVORING AGENT OR ADJUVANT
 111-87-5, 1-OCTANOL, FLAVORING AGENT OR ADJUVANT
 123-96-6, 2-OCTANOL, FLAVORING AGENT OR ADJUVANT
 589-98-0, 3-OCTANOL, FLAVORING AGENT OR ADJUVANT
 111-13-7, 2-OCTANONE, FLAVORING AGENT OR ADJUVANT
 106-68-3, 3-OCTANONE, FLAVORING AGENT OR ADJUVANT
 2363-89-5, 2-OCTENAL, FLAVORING AGENT OR ADJUVANT
 41547-22-2, CIS-5-OCTENAL, FLAVORING AGENT OR ADJUVANT
 63826-25-5, 6-OCTENAL, FLAVORING AGENT OR ADJUVANT
 1871-67-6, (E)-2-OCTENOIC ACID, FLAVORING AGENT OR ADJUVANT
 1577-19-1, 3-OCTENOIC ACID, FLAVORING AGENT OR ADJUVANT
 3391-86-4, 1-OCTEN-3-OL, FLAVORING AGENT OR ADJUVANT
 26001-58-1, CIS-2-OCTENOL, FLAVORING AGENT OR ADJUVANT
 18409-17-1, (E)-2-OCTEN-1-OL, FLAVORING AGENT OR ADJUVANT
 20125-81-9, (E)-2-OCTEN-4-OL, FLAVORING AGENT OR ADJUVANT
 20125-84-2, CIS-3-OCTEN-1-OL, FLAVORING AGENT OR ADJUVANT
 57648-55-2, TRANS-3-OCTEN-2-OL, FLAVORING AGENT OR ADJUVANT
 54393-36-1, CIS-4-OCTENOL, FLAVORING AGENT OR ADJUVANT
 64275-73-6, CIS-5-OCTEN-1-OL, FLAVORING AGENT OR ADJUVANT
 4312-99-6, 1-OCTEN-3-ONE, FLAVORING AGENT OR ADJUVANT
 4643-27-0, 2-OCTEN-4-ONE, FLAVORING AGENT OR ADJUVANT
 1669-44-9, 3-OCTEN-2-ONE, FLAVORING AGENT OR ADJUVANT
 14129-48-7, 4-OCTEN-3-ONE, FLAVORING AGENT OR ADJUVANT
 2442-10-6, 1-OCTEN-3-YL ACETATE, FLAVORING AGENT OR ADJUVANT
 3913-80-2, TRANS-2-OCTEN-1-YL ACETATE, FLAVORING AGENT OR ADJUVANT
 71978-00-2, Z-5-OCTENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 84642-60-4, TRANS-2-OCTEN-1-YL BUTANOATE, FLAVORING AGENT OR ADJUVANT
 16491-54-6, 1-OCTEN-3-YL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 98314-98-8, (E)-2-(2-OCTENYL)CYCLOPENTANONE, FLAVORING AGENT OR ADJUVANT
 94134-03-9, CIS-3-OCTENYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 196109-18-9, (Z)-5-OCTENYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 7757-96-2, 1-OCTENYL SUCCINIC ANHYDRIDE, DOUGH STRENGTHENER
 112-14-1, OCTYL ACETATE, FLAVORING AGENT OR ADJUVANT
 4864-61-3, 3-OCTYL ACETATE, FLAVORING AGENT OR ADJUVANT
 977152-92-3," OCTYL ALCOHOL, SYNTHETIC"," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE"
 110-39-4, OCTYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 20286-45-7, 3-OCTYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 112-32-3, OCTYL FORMATE, FLAVORING AGENT OR ADJUVANT
 84434-65-1, 3-OCTYL FORMATE, FLAVORING AGENT OR ADJUVANT
 39251-88-2, OCTYL 2-FUROATE, FLAVORING AGENT OR ADJUVANT
 1034-01-1, OCTYL GALLATE, ANTIOXIDANT
 5132-75-2, OCTYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 109-15-9, OCTYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 7786-58-5, OCTYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 29811-50-5, OCTYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 2306-88-9, OCTYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 122-45-2, OCTYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 142-60-9, OCTYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 7370-92-5, (+/-)-6-OCTYLTETRAHYDRO-2H-PYRAN-2-ONE, FLAVORING AGENT OR ADJUVANT
 376595-42-5, O-ETHYL S-(2-FURYLMETHYL)THIOCARBONATE, FLAVORING AGENT OR ADJUVANT
 8016-35-1, OITICICA OIL,
 977047-39-4," OLEIC ACID, FROM TALL OIL FATTY ACIDS"," FORMULATION AID,<br /> LUBRICANT OR RELEASE AGENT,<br /> SURFACE-ACTIVE AGENT"
 121854-29-3, OLESTRA,
 143-28-2, OLEYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 977184-03-4," OLIBANUM, ABSOLUTE (BOSWELLIA SPP.)", FLAVORING AGENT OR ADJUVANT
 8050-07-5," OLIBANUM, GUM, RESIN (BOSWELLIA SPP.)", FLAVORING AGENT OR ADJUVANT
 8016-36-2," OLIBANUM, OIL (BOSWELLIA SPP.)", FLAVORING AGENT OR ADJUVANT
 977184-02-3," OLIBANUM, RESINOID (BOSWELLIA SPP.)", FLAVORING AGENT OR ADJUVANT
 8002-72-0," ONION, OIL (ALLIUM CEPA L.)", FLAVORING AGENT OR ADJUVANT
 9000-78-6," OPOPANAX, GUM", FLAVORING AGENT OR ADJUVANT
 977136-06-3," OPOPANAX, NON-SPECIFIC",
 8021-36-1," OPOPANAX, OIL", FLAVORING AGENT OR ADJUVANT
 977091-81-8, OPOPANAX TINCTURE, FLAVORING AGENT OR ADJUVANT
 15139-76-1, ORANGE B, COLOR OR COLORING ADJUNCT
 977091-85-2," ORANGE ESSENCE, NATURAL", FLAVORING AGENT OR ADJUVANT
 68514-75-0," ORANGE ESSENCE OIL, NATURAL", FLAVORING AGENT OR ADJUVANT
 977130-92-9," ORANGE, EXTRACT",
 977049-65-2," ORANGE FLOWERS, ABSOLUTE (CITRUS AURANTIUM L.)", FLAVORING AGENT OR ADJUVANT
 977051-52-7," ORANGE FLOWERS, BITTER (CITRUS AURANTIUM L)", FLAVORING AGENT OR ADJUVANT
 977059-38-3," ORANGE, JUICE", PH CONTROL AGENT
 977091-84-1," ORANGE LEAF, ABSOLUTE (CITRUS AURANTIUM L.)", FLAVORING AGENT OR ADJUVANT
 977091-83-0," ORANGE, OIL, DISTILLED (CITRUS SINENSIS (L.) OSBECK)", FLAVORING AGENT OR ADJUVANT
 68606-94-0," ORANGE, OIL, TERPENELESS (CITRUS SINENSIS (L.) OSBECK)", FLAVORING AGENT OR ADJUVANT
 977070-86-2, ORANGE PEEL," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> TEXTURIZER"
 977081-87-0," ORANGE PEEL, BITTER, EXTRACT (CITRUS AURANTIUM L.)", FLAVORING AGENT OR ADJUVANT
 68916-04-1," ORANGE PEEL, BITTER, OIL (CITRUS AURANTIUM L.)", FLAVORING AGENT OR ADJUVANT
 977091-82-9," ORANGE PEEL, SWEET, EXTRACT (CITRUS SINENSIS (L.) OSBECK)", FLAVORING AGENT OR ADJUVANT
 8008-57-9," ORANGE PEEL, SWEET, OIL (CITRUS SINENSIS (L.) OSBECK)", FLAVORING AGENT OR ADJUVANT
 977154-09-8," ORANGE PEEL, SWEET, OIL, TERPENELESS (CITRUS SINENSIS (L.) OSBECK)", FLAVORING AGENT OR ADJUVANT
 977002-10-0," OREGANO, EUROPEAN (ORIGANUM SPP.)", FLAVORING AGENT OR ADJUVANT
 977138-70-7," OREGANO (LIPPIA SPP., USUALLY L. GRAVEOLENS HBK)", FLAVORING AGENT OR ADJUVANT
 977138-69-4," OREGANO (OTHER GENERA INCLUDING COLEUS, LANTANA AND HYPTIS)", FLAVORING AGENT OR ADJUVANT
 8007-11-2, ORIGANUM OIL (EXTRACTIVE)(THYMUS CAPITATUS HOFF. ET LINK), FLAVORING AGENT OR ADJUVANT
 134359-15-2, ORIN LACTONE, FLAVORING AGENT OR ADJUVANT
 3184-13-2, L-ORNITHINE MONOCHLOROHYDRATE/ORNITHINE, FLAVORING AGENT OR ADJUVANT
 977086-43-3," ORRIS, CONCRETE, LIQUID, OIL (IRIS FLORENTINA L.)", FLAVORING AGENT OR ADJUVANT
 977096-43-7," ORRIS ROOT, EXTRACT (IRIS FLORENTINA L.)", FLAVORING AGENT OR ADJUVANT
 977103-81-3, OSMANTHUS ABSOLUTE, FLAVORING AGENT OR ADJUVANT
 68036-99-7," OXIRANE (CHLOROMETHYL)-, POLYMER WITH AMMONIA, REACTION PRODUCT WITH CHLOROMETHANE", PROCESSING AID
 5436-21-5," 3-OXOBUTANAL, DIMETHYL ACETAL", FLAVORING AGENT OR ADJUVANT
 624-01-1, 5-OXODECANOIC ACID, FLAVORING AGENT OR ADJUVANT
 128331-45-3, 3-OXODECANOIC ACID GLYCERIDE, FLAVORING AGENT OR ADJUVANT
 3637-16-9, 5-OXODODECANOIC ACID, FLAVORING AGENT OR ADJUVANT
 128362-26-5, 3-OXODODECANOIC ACID GLYCERIDE, FLAVORING AGENT OR ADJUVANT
 923291-29-6, 2-OXO-3-ETHYL-4-BUTANOLIDE, FLAVORING AGENT OR ADJUVANT
 128331-46-4, 3-OXOHEXADECANOIC ACID GLYCERIDE, FLAVORING AGENT OR ADJUVANT
 977148-06-3, 3-OXOHEXANOIC ACID DIGLYCERIDE, FLAVORING AGENT OR ADJUVANT
 3637-14-7, 5-OXOOCTANOIC ACID, FLAVORING AGENT OR ADJUVANT
 128331-48-6, 3-OXOOCTANOIC ACID GLYCERIDE, FLAVORING AGENT OR ADJUVANT
 328-50-7, 2-OXOPENTANEDIOIC ACID, FLAVORING AGENT OR ADJUVANT
 156-06-9, 2-OXO-3-PHENYLPROPIONIC ACID, FLAVORING AGENT OR ADJUVANT
 128331-49-7, 3-OXOTETRADECANOIC ACID GLYCERIDE, FLAVORING AGENT OR ADJUVANT
 1003-10-7, 2-OXOTHIOLANE, FLAVORING AGENT OR ADJUVANT
 10028-15-6, OZONE, ANTIMICROBIAL AGENT
 553-79-7, P-4000--PROHIBITED, NON-NUTRITIVE SWEETENER
 57-10-3, PALMITIC ACID," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LUBRICANT OR RELEASE AGENT,<br /> SURFACE-ACTIVE AGENT"
 8049-47-6, PANCREATIN,
 977068-82-8, PANSY (VIOLA TRICOLOR L.), FLAVORING AGENT OR ADJUVANT
 7757-97-3, D-PANTOTHENAMIDE, NUTRIENT SUPPLEMENT
 977006-45-3, PAPRIKA (CAPSICUM ANNUUM L.)," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-FINISHING AGENT"
 68917-78-2, PAPRIKA OLEORESIN (CAPSICUM ANNUUM L.)," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 977051-57-2," PARAFFIN AND SUCCINIC DERIVATIVES, SYNTHETIC", MASTICATORY SUBSTANCE
 8002-74-2, PARAFFIN WAX," FLAVOR ENHANCER,<br /> MASTICATORY SUBSTANCE,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT,<br /> TEXTURIZER"
 123-63-7, PARALDEHYDE, FLAVORING AGENT OR ADJUVANT
 977090-87-1," PARMESAN CHEESE, REGGIANO CHEESE", NUTRIENT SUPPLEMENT
 8000-68-8," PARSLEY, OIL (PETROSELINUM SPP.)", FLAVORING AGENT OR ADJUVANT
 8025-95-4," PARSLEY, OLEORESIN (PETROSELINUM SPP.)", FLAVORING AGENT OR ADJUVANT
 977051-58-3, PARSLEY (PETROSELINUM SPP.)," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT"
 8057-62-3, PASSION FLOWER EXTRACT, FLAVORING AGENT OR ADJUVANT
 977001-53-8, PASSION FLOWER (PASSIFLORA INCARNATA L.), FLAVORING AGENT OR ADJUVANT
 8014-09-3," PATCHOULY, OIL (POGOSTEMON SPP.)", FLAVORING AGENT OR ADJUVANT
 8023-98-1," PEACH KERNEL, EXTRACT(PRUNUS PERSICA SIEB ET ZUCC.)", FLAVORING AGENT OR ADJUVANT
 977183-61-1," PEACH LEAVES, EXTRACT (PRUNUS PERSICA (L.) BATSCH)", FLAVORING AGENT OR ADJUVANT
 977009-83-8, PEACH LEAVES (PRUNUS PERSICA (L.) BATSCH), FLAVORING AGENT OR ADJUVANT
 977051-59-4, PEANUT STEARINE (ARACHIS HYPOGAEA L.), FLAVORING AGENT OR ADJUVANT
 977144-30-1, PECAN SHELL FLOUR, FLAVORING AGENT OR ADJUVANT
 977031-85-8, PECTINASE FROM ASPERGILLUS NIGER," ENZYME,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER"
 977090-12-2, PECTINASE FROM BACILLUS SUBTILIS," ENZYME,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER"
 977091-87-4," PECTIN, MODIFIED"," EMULSIFIER OR EMULSIFIER SALT,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
 977188-96-7," PEG FATTY ACID ESTERS AND MONO-, DI-, AND TRIGLYCERIDES MIXTURE", SOLVENT OR VEHICLE
 977011-50-9, PENDARE (COUMA MACROCARPA BARB. RODR. & COUMA UTILIS (MART.) MUELL. ARG.), MASTICATORY SUBSTANCE
 977090-13-3, PENICILLINASE FROM BACILLUS SUBTILIS, ENZYME
 977083-14-9, PENICILLIUM ROQUEFORTI,
 8007-44-1," PENNYROYAL, OIL, AMERICAN (HEDEOMA PULEGIODES (L.))", FLAVORING AGENT OR ADJUVANT
 8013-99-8," PENNYROYAL, OIL, EUROPEAN (MENTHA PULEGIUM L.)", FLAVORING AGENT OR ADJUVANT
 106-02-5, OMEGA-PENTADECALACTONE, FLAVORING AGENT OR ADJUVANT
 1002-84-2, PENTADECANOIC ACID, FLAVORING AGENT OR ADJUVANT
 2345-28-0, 2-PENTADECANONE, FLAVORING AGENT OR ADJUVANT
 764-40-9," 2,4-PENTADIENAL", FLAVORING AGENT OR ADJUVANT
 600-14-6," 2,3-PENTANEDIONE", FLAVORING AGENT OR ADJUVANT
 110-66-7, 1-PENTANETHIOL, FLAVORING AGENT OR ADJUVANT
 2084-19-7, 2-PENTANETHIOL, FLAVORING AGENT OR ADJUVANT
 616-31-9, 3-PENTANETHIOL, FLAVORING AGENT OR ADJUVANT
 6032-29-7, 2-PENTANOL, FLAVORING AGENT OR ADJUVANT
 107-87-9, 2-PENTANONE," ANTIOXIDANT,<br /> FLAVORING AGENT OR ADJUVANT"
 3194-17-0, 2-PENTANOYLFURAN, FLAVORING AGENT OR ADJUVANT
 764-39-6, 2-PENTENAL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 2100-17-6, 4-PENTENAL, FLAVORING AGENT OR ADJUVANT
 626-98-2, 2-PENTENOIC ACID, FLAVORING AGENT OR ADJUVANT
 591-80-0, 4-PENTENOIC ACID," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 616-25-1, 1-PENTEN-3-OL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 20273-24-9, 2-PENTEN-1-OL, FLAVORING AGENT OR ADJUVANT
 1629-58-9, 1-PENTEN-3-ONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 625-33-2, 3-PENTEN-2-ONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 1576-85-8, 4-PENTENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 74298-89-8, PENT-2-ENYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 18060-79-2, 4-PENTENYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 1094004-39-3," 2-PENTENYL-4-PROPYL-1,3-OXATHIANE (MIXTURE OF ISOMERS)", FLAVORING AGENT OR ADJUVANT
 626-38-0, 2-PENTYL ACETATE, FLAVORING AGENT OR ADJUVANT
 110-58-7, PENTYLAMINE, FLAVORING AGENT OR ADJUVANT
 63759-55-7, 2-PENTYL-1-BUTEN-3-ONE, FLAVORING AGENT OR ADJUVANT
 60415-61-4, 2-PENTYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 3777-69-3, 2-PENTYLFURAN, FLAVORING AGENT OR ADJUVANT
 14360-50-0, PENTYL 2-FURYL KETONE, FLAVORING AGENT OR ADJUVANT
 51352-68-2, 5-PENTYL-3H-FURAN-2-ONE, FLAVORING AGENT OR ADJUVANT
 1128-08-1, 2-PENTYL-3-METHYL-2-CYCLOPENTEN-1-ONE, FLAVORING AGENT OR ADJUVANT
 90397-36-7, 2-PENTYL 2-METHYLPENTANOATE, FLAVORING AGENT OR ADJUVANT
 2294-76-0, 2-PENTYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
 37645-62-8, 2-PENTYLTHIAZOLE, FLAVORING AGENT OR ADJUVANT
 4861-58-9, 2-PENTYLTHIOPHENE, FLAVORING AGENT OR ADJUVANT
 8006-82-4," PEPPER, BLACK, OIL (PIPER NIGRUM L.)", FLAVORING AGENT OR ADJUVANT
 8002-56-0," PEPPER, BLACK, OLEORESIN (PIPER NIGRUM L.)", FLAVORING AGENT OR ADJUVANT
 977051-62-9," PEPPER, BLACK (PIPER NIGRUM L.)"," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT"
 977071-33-2," PEPPER, CAYENNE", FLAVORING AGENT OR ADJUVANT
 977018-19-1, PEPPERMINT LEAVES (MENTHA PIPERITA L.), FLAVORING AGENT OR ADJUVANT
 8006-90-4," PEPPERMINT, OIL (MENTHA PIPERITA L.)"," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 977001-36-7, PEPPERMINT PLANT, FLAVORING AGENT OR ADJUVANT
 977184-01-2," PEPPER, RED", FLAVORING AGENT OR ADJUVANT
 977018-20-4," PEPPER, WHITE, OIL (PIPER NIGRUM L.)", FLAVORING AGENT OR ADJUVANT
 977018-21-5," PEPPER, WHITE, OLEORESIN (PIPER NIGRUM L.)", FLAVORING AGENT OR ADJUVANT
 977051-63-0," PEPPER, WHITE (PIPER NIGRUM L.)", FLAVORING AGENT OR ADJUVANT
 9001-75-6, PEPSIN, ENZYME
 73049-73-7, PEPTONES," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 79-21-0, PERACETIC ACID, PH CONTROL AGENT
 355-42-0, perfluorohexane,
 2111-75-3, PERILLALDEHYDE, FLAVORING AGENT OR ADJUVANT
 121199-28-8, PERILLALDEHYDE PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 977186-33-6, PERILLA LEAF OIL, FLAVORING AGENT OR ADJUVANT
 977049-04-9, PERILLO, MALTING OR FERMENTING AID
 15111-96-3, PERILLYL ACETATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 10450-60-9, PERIODIC ACID,
 8048-51-9," PETITGRAIN, LEMON, OIL (CITRUS LIMON (L.) BURM. F.)", FLAVORING AGENT OR ADJUVANT
 977051-67-4," PETITGRAIN, MANDARIN, OIL (CITRUS RETICULATA BLANCO VAR. MANDARIN)", FLAVORING AGENT OR ADJUVANT
 8014-17-3," PETITGRAIN, OIL (CITRUS AURANTIUM L.)", FLAVORING AGENT OR ADJUVANT
 8009-03-8, PETROLATUM," LUBRICANT OR RELEASE AGENT,<br /> MASTICATORY SUBSTANCE,<br /> SOLVENT OR VEHICLE,<br /> SURFACE-ACTIVE AGENT"
 977051-68-5," PETROLEUM HYDROCARBONS, ODORLESS, LIGHT", SOLVENT OR VEHICLE
 8030-30-6, PETROLEUM NAPHTHA, SOLVENT OR VEHICLE
 977051-70-9, PETROLEUM WAX," MASTICATORY SUBSTANCE,<br /> SURFACE-ACTIVE AGENT,<br /> SURFACE-FINISHING AGENT"
 977045-73-0," PETROLEUM WAX, SYNTHETIC"," MASTICATORY SUBSTANCE,<br /> SURFACE-ACTIVE AGENT"
 977165-85-7, PHAFFIA YEAST, COLOR OR COLORING ADJUNCT
 99-83-2, ALPHA-PHELLANDRENE, FLAVORING AGENT OR ADJUVANT
 103-45-7, PHENETHYL ACETATE, FLAVORING AGENT OR ADJUVANT
 60-12-8, PHENETHYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 64-04-0, PHENETHYLAMINE, FLAVORING AGENT OR ADJUVANT
 133-18-6, PHENETHYL ANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 94-47-3, PHENETHYL BENZOATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 103-52-6, PHENETHYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 103-53-7, PHENETHYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 61810-55-7, PHENETHYL DECANOATE, FLAVORING AGENT OR ADJUVANT
 104-62-1, PHENETHYL FORMATE, FLAVORING AGENT OR ADJUVANT
 7149-32-8, PHENETHYL 2-FUROATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 6290-37-5, PHENETHYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 103-48-0, PHENETHYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
